Name,Geburtsjahr,Todesjahr,Konfession,Biographie,Vorkommen,Varianten,Autor von,Anfangsjahr,Schlussjahr,Ist Mitglied von,Kategorien,Kommentar,Urheber von,Mitglieder,Dargestellt in,Literatur,Externe Ressourcen
"Erich I., Herzog (Braunschweig-Grubenhagen)",ca. 1380,1327,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Erich II., Herzog (Mecklenburg-Schwerin)",1483,1508,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Erich II., Herzog (Pommern-Wolgast)",1427,1474,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Erich IV., Herzog (Sachsen-Lauenburg)",1354,1411,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Erich, Herzog (Mecklenburg)",ca. 1359,1397,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Erik V., König (Dänemark)",ca. 1249,1286,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Burckhardt von Erlach,1566,1640,protestantisch,,,,,,,,,,,,,", Personenregister, s. v. „Erlach, Burkhard (I) von
                     “",Gemeinsame Normdatei (GND):
Friedrich Erlbeck von Sinningen,,,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ernst von Bayern, Erzbischof (Köln)",1554,1612,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ernst, Herzog (Bayern-München)",1373,1438,katholisch,,,,,,,,,,,,,", S. 184",Gemeinsame Normdatei (GND):
"Ernst, Graf (Holstein-Schaumburg)",1569,1622,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ernst, Kurfürst (Sachsen)",1441,1486,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ernst I., Markgraf (Baden-Durlach)",1482,1553,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ernst I., Herzog (Braunschweig-Lüneburg)",1497,1546,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ernst, Herzog (Bayern)",1500,1560,katholisch,,,,,,,,,,,,,", S. 184",Gemeinsame Normdatei (GND):
"Ernst Friedrich, Markgraf (Baden-Durlach)",1560,1604,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ernst Kasimir, Graf (Nassau-Dietz)",1573,1632,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Esau, biblische Person",,,andere,,,,,,,,,,,,,", S. 428",Sandrart.net:
"Esra, biblische Person",,,andere,,,,,,,,,,,,,", S. 436–437",Gemeinsame Normdatei (GND):
"Esther, biblische Person, Königin (Persien)",,,andere,,,,,,,,,,,,,", S. 441",Sandrart.net:
Anna Maria von Etzdorf,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Georg von Etzdorf,,1652,katholisch,,,,,,,,,,,,,", Bd. 2, S. 294, Anm. 79",Gemeinsame Normdatei (GND):
Renata von Etzdorf,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Europa, mythologische Person",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
"Europa, Personifikation",,,keine Angabe,,,,,,,,,,,,,,
"Eva, biblische Person",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
Die vier Evangelisten,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Albrecht Everhard von Miltenburg,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Everwin II., Graf (Bentheim)",1461,1530,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Anselm von Eyb,1444,1477,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Kaspar von Eyb,1462,1513,katholisch,,,,,,,,,,,,,,
"Ezechiel, Prophet",,,andere,,,,,,,,,,,,,", S. 464–467",Sandrart.net:
Sebastian Faber,1564,1624,protestantisch,,,,,,,,,,,,,", S. 149–150, 227, 249",Gemeinsame Normdatei (GND):
Johannes Fabri,1571,1620,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Fabricius,1516,1571,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Wilhelm Fabricius,,,katholisch,,,,,,,,,,,,,,
Kaspar von Falkenhayn,,,keine Angabe,,,,,,,,,,,,,,
"von Falkenstein, Fräulein",,,keine Angabe,,,,,,,,,,,,,,
Fama (Personifikation),,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
Alessandro Farnese,1545,1592,katholisch,,,,,,,,,,,,,,Sandrart.net:
Ottavio Farnese,1545,1592,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Pier Luigi Farnese,1503,1547,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Faunus, Gott",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
Philipp Wolf von Fechenbach zu Mauer,ca. 1580,1621,keine Angabe,,,,,,,,,,,,,,
"Federico I. Gonzaga, Markgraf (Mantua)",1441,1484,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Kunigunde Fehr,ca. 1574,1633,katholisch,,,,,,,,,,,,,",",
Georg Felder,1567,1631,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Barbara Ferber,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hans Ferber,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Peter Ferber,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ferdinand, Herzog (Bayern)",1550,1608,katholisch,,,,,,,,,,,,,", Bd. 2, S. 72–74, Kat.–Nr. 108–109 (Dorothea Diemer),
                     Kat.–Nr. 110 (Monika Bachtler)",Gemeinsame Normdatei (GND):
"Ferdinand, Kurfürst (Köln)",1577,1650,katholisch,,,,,,,,,,,,,", hier S. 94–95",Gemeinsame Normdatei (GND):
"Ferdinand I., Kaiser (HRR)",1503,1564,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Ferdinand I., Großherzog (Toskana)",1549,1609,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ferdinand II., Kaiser (HRR)",1578,1637,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Ferdinand II. (HRR), Söhne 1607/1611",,,katholisch,,,,,,,,,,,,,",",
"Ferdinand II., Erzherzog (Österreich)",1529,1595,katholisch,,,,,,,,,,,,,",",Sandrart.net:
"Ferdinand III., Kaiser (HRR)",1608,1657,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Ferdinand Albrecht I., Herzog (Braunschweig-Bevern)",1636,1687,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ferdinand de Longwy, dit de Rye, Erzbischof (Besançon)",1550,1636,katholisch,,,,,,,,,,,,,", S. 322–338",Gemeinsame Normdatei (GND):
Matthäus Fetzer,,1645,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hieronymus Feury,,,katholisch,,,,,,,,,,,,,,
Johann Finck,,,katholisch,,,,,,,,,,,,,,
Melchior Finck,,,keine Angabe,,,,,,,,,,,,,", S. 41",
Johann Fischer,ca. 1567,1643,keine Angabe,,,,,,,,,,,,,", S. 280–281, 283",Sandrart.net:
Michael Fischer,,,keine Angabe,,,,,,,,,,,,,,
Johann Philipp Flach von Schwarzenberg,,,keine Angabe,,,,,,,,,,,,,,
Maria (?) Fländerl,,,katholisch,,,,,,,,,,,,,",",
"von Fleckenstein, Fräulein",,,keine Angabe,,,,,,,,,,,,,,
Friedrich von Fleckenstein,1568,1621,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Georg II. von Fleckenstein,1588,1644,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Philipp Jakob von Fleckenstein,,1622,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Veronika von Fleckenstein,1597,1661,protestantisch,,,,,,,,,,,,,,
Philipp Ludwig von Flehingen,1585,1636,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Fleischmann (Witwe),,,keine Angabe,,,,,,,,,,,,,,
Johannes Nikolaus Flettacher,ca. 1567,1619,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Jakob Flexle,,1649,katholisch,,,,,,,,,,,,,", S. 513–514",
Georg Adam Flusshardt von Potendorf und Thalen,ca. 1586,1623,protestantisch,,,,,,,,,,,,,", S. 566–570",
Johann Friedrich Förster,ca. 1580,1637,keine Angabe,,,,,,,,,,,,,", Alphabetisches Register der Personen in den Selbstzeugnissen
                     Happe, Heubel, Krafft und Marx, s. v. Förster, Johann Friedrich;
                     Doktor, Rat",Gemeinsame Normdatei (GND):
Andreas Forstenheuser,,1628,protestantisch,,,,,,,,,,,,,", hier S. 727",Gemeinsame Normdatei (GND):
Georg Forstenheuser,1584,1659,protestantisch,,,,,,,,,,,,,", S. 99–110",Gemeinsame Normdatei (GND):
Elias Forster,1567,1625,protestantisch,,,,,,,,,,,,,", S. 56",Gemeinsame Normdatei (GND):
"Fortitudo, Personifikation",,,andere,,,,,,,,,,,,,,Sandrart.net:
"Fortuna, Göttin",,,keine Angabe,,,,,,,,,,,,,",",Sandrart.net:
Peter Franckh,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Frank II. von Borsselen,zwischen ca. 1395 und 1396,1470,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
George de Franquemont,,,keine Angabe,,,,,,,,,,,,,",",
"Franz I., König (Frankreich)",1494,1547,katholisch,,,"Franciscus I., Rex (Gallia)",,,,,,,,,,,Union List of Artist Names (ULAN):
"Franz I., Herzog (Lothringen)",1517,1545,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Franz I., Herzog (Pommern-Stettin)",1577,1620,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Franz II., Herzog (Lothringen)",1572,1632,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Franz II., Herzog (Sachsen-Lauenburg)",1547,1619,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hl. Franz von Assisi,1182,1226,katholisch,,,,,,,,,,,,,", S. 96–97",Sandrart.net:
Frau mit fehlgebildetem Fuß,,,keine Angabe,,,,,,,,,,,,,,
Hans Peter von und zu Fraunberg (Frauenberg) und Schöllnstein,,1584,katholisch,,,Hans Peter Fronberg,,,,,,,,,,", Bd. 1, S. 162–163, Nr. 443 (Peter Diemer, Lorenz Seelig)",Gemeinsame Normdatei (GND):
Johann Wilhelm von Fraunhofen,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Wolfgang von Fraunhofen,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Marquard Freher,1565,1614,protestantisch,,,,,,,,,,,,,", S. 356–357",Gemeinsame Normdatei (GND):
Georg Ludwig von Freiberg zu Justingen,,1631,protestantisch,,,,,,,,,,,,,", S. 50–52",
Philipp Freisbach,ca. 1575,ca. 1655,katholisch,,,,,,,,,,,,,",",
Georg Christoph Frentz,,,protestantisch,,,,,,,,,,,,,",",
Christoph Ludwig Freudenberg,,,keine Angabe,,,,,,,,,,,,,", S. 237",
Johann Freyberger,ca. 1571,1632,protestantisch,,,,,,,,,,,,,", Bd. 4, S. 492",Union List of Artist Names (ULAN):
Ursula Frickinger,ca. 1433,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich, Herzog (Bayern-Landshut)",ca. 1339,1393,katholisch,,,,,,,,,,,,,", S. 35ff",Gemeinsame Normdatei (GND):
"Friedrich, König (HRR)",1289,1330,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich, Herzog (Württemberg-Neuenstadt)",1615,1682,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Friedrich, Pfalzgraf (Zweibrücken-Birkenfeld)",1594,1626,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich I., Kurfürst (Brandenburg)",ca. 1371,1440,katholisch,,,,,,,,,,,,,", S. 224",Gemeinsame Normdatei (GND):
"Friedrich I., König (Dänemark)",1471,1533,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Friedrich I. von Haunstadt, Bischof (Eichstätt)",,ca. 1225,katholisch,,,,,,,,,,,,,", S. 93–94",Gemeinsame Normdatei (GND):
"Friedrich I., Landgraf (Hessen-Homburg)",1585,1638,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich I., Kaiser (HRR)",1122,1190,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Friedrich I., Herzog (Württemberg)",1557,1608,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Friedrich II., Kurfürst (Brandenburg)",1413,1471,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich II., König (Dänemark)",1534,1588,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Friedrich II. von Parsberg, Bischof (Eichstätt)",,1246,katholisch,,,,,,,,,,,,,", S. 101–104",Gemeinsame Normdatei (GND):
"Friedrich II., Kaiser (HRR)",1194,1250,katholisch,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
"Friedrich II., Markgraf (Meißen)",1310,1349,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich II. der Weise, Kurfürst (Pfalz)",1482,1556,katholisch,,,,,,,,,,,,,",",Sandrart.net:
"Friedrich II., Kurfürst (Sachsen)",1412,1464,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich II., Pfalzgraf (Wörth)",1120,ca. 1198,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich III., Markgraf (Baden)",1327,1353,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich III. von Leuchtenberg, Bischof (Eichstätt)",,1329,katholisch,,,,,,,,,,,,,", S. 157–158",Gemeinsame Normdatei (GND):
"Friedrich III., Kaiser (HRR)",1415,1493,christlich allgemein,,,,,,,,,,,,,,Sandrart.net:
"Friedrich III., Herzog (Liegnitz)",1520,1570,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich III., Kurfürst (Sachsen)",1463,1525,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Friedrich IV., Markgraf ( Baden)",1458,1517,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Friedrich IV. von Oettingen, Bischof (Eichstätt)",ca. 1360,1415,katholisch,,,,,,,,,,,,,", S. 179–188",Gemeinsame Normdatei (GND):
"Friedrich IV., Kurfürst (Pfalz)",1574,1610,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich V., Markgraf (Baden-Durlach)",1594,1659,protestantisch,,,,,,,,,,,,,,Sandrart.net:
"Friedrich V., Kurfürst (Pfalz)",1596,1632,protestantisch,,,,,,,,,,,,,,Sandrart.net:
"Friedrich Achilles, Herzog (Württemberg-Neuenstadt)",1591,1631,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich Kasimir, Graf (Ortenburg)",1591,1658,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich Ulrich, Herzog (Braunschweig-Wolfenbüttel)",1591,1634,protestantisch,,,,,,,,,,,,,", S. 234–235 (H.-R. Jarck)",Gemeinsame Normdatei (GND):
"Friedrich Wilhelm I., Herzog (Sachsen-Weimar-Altenburg)",1562,1602,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Friedrich Wilhelm I. von Sachsen-Weimar-Altenburg, Söhne",,,,,,,,,,,,,,,,,
Matthias Frieshammer,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Daniel Fröschl,1563,1613,protestantisch,,,,,,,,,,,,,", S. 722",Union List of Artist Names (ULAN):
Christoph Froschhammer,,1578,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Felicitas Fuchs,1587,1619,keine Angabe,,,,,,,,,,,,,", S. 436, Nr. 4",
Georg Fuchs,,,keine Angabe,,,,,,,,,,,,,,
Leonhart Fuchs,1501,1566,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hans Philipp Fuchs von Bimbach,ca. 1567,1626,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoph Fürer von Haimendorf,1578,1653,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Sigmund Fürer von Haimendorf,1583,1642,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoff Fürleger,ca. 1573,1630,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Paul Fürleger,1530,1604,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Friedrich IV. von Fürstenberg-Heiligenberg,1563,1617,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Christoph II. von Fürstenberg,1580,1614,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Eusebia Maria von Fürstenberg,1592,1644,katholisch,,,,,,,,,,,,,", S. 277",Gemeinsame Normdatei (GND):
Francisca Hippolita von Fürstenberg,1592,1644,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Wratislav I. von Fürstenberg,1584,1631,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Anton Fugger zu Nordendorf,1563,1616,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Christoph Fugger,1566,1615,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Georg Fugger,1560,1634,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Georg Fugger zu Wasserburg und Tratzberg,1577,1643,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hieronymus Fugger,1584,1633,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Fugger d. Ä.,1583,1633,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Ernst Fugger,1590,1639,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Jakob Fugger,1516,1575,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Markus Fugger,1564,1614,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Markus Philipp Fugger,1598,1620,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Marquard Fugger,1595,1655,katholisch,,,,,,,,,,,,,", Personenregister, s. v. „Fugger von Kirchberg und
                     Weißenhorn, Marquard, Graf“",Gemeinsame Normdatei (GND):
Maximilian Fugger,1608,1669,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Maximilian Fugger,1587,1629,katholisch,,,,,,,,,,,,,",",
Ottheinrich Fugger,1592,1644,katholisch,,,,,,,,,,,,,",",Sandrart.net:
Philipp Fugger,1567,1601,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Walburga Funck,ca. 1420,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Wolfgang Gabelkover,1568,1634,protestantisch,,,,,,,,,,,,,", S. 195",Gemeinsame Normdatei (GND):
"Gabriel (Erzengel), biblische Figur",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
"Gabriel von Eyb, Bischof (Eichstätt)",1455,1535,katholisch,,,,,,,,,,,,,", S. 241–265",Gemeinsame Normdatei (GND):
"Gabriel Báthory, Fürst (Siebenbürgen)",1589,1613,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Friedrich von Gaisberg,,1631,katholisch,,,,,,,,,,,,,", S. 124",Gemeinsame Normdatei (GND):
Otto Leonardt von Gaisberg,,1635,keine Angabe,,,,,,,,,,,,,",",
Matthäus Gaisser,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Galateia, Nymphe",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 1586–1588",Sandrart.net:
Heinrich von Galen,ca. 1480,1557,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Philipps Galle,1537,1612,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
"Gargaphia, Nymphe",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 1604",Gemeinsame Normdatei (GND):
Georg Ludwig von Gaudecker,,,keine Angabe,,,,,,,,,,,,,,
"Gebhard III. von Graisbach, Bischof (Eichstätt)",,1327,katholisch,,,,,,,,,,,,,", S. 154–156",Gemeinsame Normdatei (GND):
"Gebhard VI., Graf (Sulzbach und Hirschberg)",1220,1275,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Gebhard I., Bischof (Eichstätt)",ca. 1020,1057,katholisch,,,,,,,,,,,,,", S. 58–63",Gemeinsame Normdatei (GND):
"Gebhard II. von Grögling, Bischof (Eichstätt)",,1149,katholisch,,,,,,,,,,,,,", S. 75–77",Gemeinsame Normdatei (GND):
Ferdinand Geizkofler,1592,1653,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Ludwig Geizkofler,1592,1665,protestantisch,,,,,,,,,,,,,", S. 175–176",
Zacharias Geizkofler,1560,1617,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Bernhard von Gemmingen,1585,1651,katholisch,,,,,,,,,,,,,", S. 331",Gemeinsame Normdatei (GND):
Christoph von Gemmingen,1571,1616,katholisch,,,,,,,,,,,,,", S. 342–343",Gemeinsame Normdatei (GND):
Erpho von Gemmingen,1469,1523,katholisch,,,,,,,,,,,,,", S. 213–214",Gemeinsame Normdatei (GND):
Georg von Gemmingen,1458,1511,katholisch,,,,,,,,,,,,,", S. 211–213",Gemeinsame Normdatei (GND):
Johann Konrad von Gemmingen,1593,zwischen 1627 und 1629,keine Angabe,,,,,,,,,,,,,", S. 331–332",
Johannes von Gemmingen,,1463,katholisch,,,,,,,,,,,,,",  S. 509, 542, 526",
Karl Dietrich von Gemmingen,1583,1629,keine Angabe,,,,,,,,,,,,,", S. 332",Gemeinsame Normdatei (GND):
Reinhard von Gemmingen,1591,1638,keine Angabe,,,,,,,,,,,,,",",
Gaspard de Genevois,1549,1619,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Georg, Heiliger",,ca. 303,christlich allgemein,,,,,,,,,,,,,", S. 122",Sandrart.net:
"Georg, Herzog (Bayern-Landshut)",1455,1503,katholisch,,,,,,,,,,,,,", S. 248",Gemeinsame Normdatei (GND):
"Georg, Herzog (Braunschweig-Calenberg)",ca. 1583,1641,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Georg, Herzog (Mecklenburg)",1528,1552,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Georg IV., Graf (Ortenburg)",1573,1627,protestantisch,,,,,,,,,,,,,", S. 477",Gemeinsame Normdatei (GND):
"Georg Albrecht II., Markgraf (Brandenburg)",1591,1615,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Georg Friedrich, Markgraf (Baden-Durlach)",1573,1638,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Georg Friedrich, Markgraf (Baden-Durlach), im Juni 1615/März 1616
               lebende Söhne",,,,,,,,,,,,,,,,,
"Georg Friedrich, Markgraf (Baden-Durlach), im Juni 1615 lebende
               Töchter",,,,,,,,,,,,,,,,,
"Georg Friedrich, Erzbischof und Kurfürst (Mainz)",1573,1629,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Georg IV. Ludwig, Landgraf (Leuchtenberg)",1567,1613,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Georg, Graf (Nassau-Dillenburg)",1562,1623,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Georg Wilhelm, Kurfürst (Brandenburg)",1595,1640,protestantisch,,,,,,,,,,,,,,Sandrart.net:
"Georg Wilhelm, Pfalzgraf (Pfalz-Birkenfeld)",1591,1669,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Erasam von Gera,1588,1657,protestantisch,,,,,,,,,,,,,", Bd. 3, S. 275",
"Gerberga, Königin (Westfrankenreich)",ca. 913,zwischen 968 und 969,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Gerhard I., Graf (Holstein-Itzehoe)",1232,1290,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Gerhard VI., Graf (Holstein-Rendsburg)",ca. 1367,1404,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Gerhoh, Bischof (Eichstätt)",,ca. 806,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Germania, Personifikation",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
Graf Gerold,,,katholisch,,,,,,,,,,,,,,
Johann Heinrich von Gertzen Sinzig,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Augsburger Gesandte beim Reichstag in Regensburg 1613,,,,,,,,,,,,,,,,,
Badische Gesandte in Neuburg 1614,,,,,,,,,,,,,,,,,
Pommersche Gesandte beim Reichstag in Regensburg 1613,,,,,,,,,,,,,,,,", S. 52",
Ulmer Gesandte beim Reichstag in Regensburg 1613,,,,,,,,,,,,,,,,,
Venezianische Gesandte beim Reichstag in Regensburg 1613,,,,,,,,,,,,,,,,,
Margret Gessler,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Geuder von Heroldsberg, Patrizierfamilie",,,,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Jakob Geuder von Heroldsberg,1575,1616,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Melchior Geuer,,1630,katholisch,,,,,,,,,,,,,", S. 1–2",
Christoph Gewold,1556,1621,protestantisch,,,,,,,,,,,,,", S. 253",Gemeinsame Normdatei (GND):
"Gezemann, Bischof (Eichstätt)",,1042,katholisch,,,,,,,,,,,,,", S. 57–58",Gemeinsame Normdatei (GND):
Giambologna,ca. 1524,1608,katholisch,,,Giovanni da Bologna,,,,,,,,,,",",Sandrart.net:
"Gideon, biblische Person",,,andere,,,,,,,,,,,,,,Sandrart.net:
Clara Gienger,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Joachim Gieteler von Waldsee,1559,1631,katholisch,,,,,,,,,,,,,,
Elisabeth Gilling,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Thomas Gilling,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Giselbert, Herzog (Lothringen)",ca. 890,939,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Glaucus, Gott",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 1680 ff.",Sandrart.net:
Johann Ludwig von Gleichen-Tonna,1565,1631,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Philipp Ernst von Gleichen-Tonna,1561,1619,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Volrad von Gleichen-Blankenhain,1556,1627,protestantisch,,,,,,,,,,,,,,
Georg Friedrich Gleißenthal,1589,1650,protestantisch,,,,,,,,,,,,,", Gleißenthal, Georg Christoph von",Gemeinsame Normdatei (GND):
