Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Friedrich Achilles, Herzog (Württemberg-Neuenstadt);1591;1631;protestantisch;Angehörige der Aristokratie;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Friedrich Heinrich, Prinz (Oranien) und Graf (Nassau);1584;1647;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Friedrich Kasimir, Graf (Ortenburg);1591;1658;protestantisch;"Angehörige der Aristokratie; Künstler: Malerei";;Stammbücher Philipp Hainhofers;;;
Friedrich, Herzog (Kurland und Semgallen);1569;1642;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Friedrich, Herzog (Schleswig-Holstein-Sonderburg-Norburg);1581;1658;keine Angabe;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Friedrich Ulrich, Herzog (Braunschweig-Wolfenbüttel);1591;1634;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Friedrich Wilhelm I., Herzog (Sachsen-Weimar-Altenburg);1562;1602;protestantisch;Angehörige der Aristokratie;;;;;
Friedrich Wilhelm I. von Sachsen-Weimar-Altenburg, Söhne;;;;;;;;;
Friedrich Wilhelm I. von Sachsen-Weimar-Altenburg, Töchter;;;;;;;;;
Matthias Frieshammer;;;katholisch;Gelehrte und Schriftsteller;;;;;um 1565 bis 1570
Christoph Frischmann;1575;1618;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Hofleute, höfische Administration";;;;;
Daniel Fröschl;1563;1613;protestantisch;Künstler: Malerei;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Felicitas Fuchs;1587;1619;keine Angabe;Sonstige;;;;;
Georg Fuchs;;;keine Angabe;"Städtische Administration; Angehörige des Militärs";;Stammbücher Philipp Hainhofers;;;erwähnt zwischen 1603 und 1613
Hans Philipp Fuchs von Bimbach;1567;1626;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Hans Fuchshuber;;;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1617
Christoph Fürer von Haimendorf;1578;1653;protestantisch;Städtische Administration;Rat der Stadt Nürnberg;;;;
Johann Sigmund Fürer von Haimendorf;1583;1642;protestantisch;Städtische Administration;Rat der Stadt Nürnberg;;;;
Christoff Fürleger;1573;1630;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Sammler / Auftraggeber";;;;;
Paul Fürleger;1530;1604;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Sammler / Auftraggeber";;Nürnberg, Kunstkammer Fürleger;;;
Friedrich IV. von Fürstenberg-Heiligenberg;1563;1617;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Schwäbisches Reichsgrafenkollegium;;;;
Christoph II. von Fürstenberg;1580;1614;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie; Angehörige des Militärs";Schwäbisches Reichsgrafenkollegium;;;;
Eusebia Maria von Fürstenberg;1592;1644;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Francisca Hippolita von Fürstenberg;1592;1644;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Wratislav I. von Fürstenberg;1584;1631;katholisch;"Angehörige der Aristokratie; Angehörige des Militärs; Hofleute, höfische Administration";;;;;
Martin Füssel;1571;1626;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Anton Fugger zu Nordendorf;1563;1616;katholisch;"Kaufleute, Gewerbetreibende, Dienstleister; Hofleute, höfische Administration";;;;;
Christoph Fugger;1566;1615;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";Schwäbisches Reichsgrafenkollegium;;;;
Georg Fugger;1560;1634;katholisch;Hofleute, höfische Administration;;;;;
Georg Fugger zu Wasserburg und Tratzberg;1577;1643;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Hofleute, höfische Administration";;;;;
Hieronymus Fugger;1584;1633;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Johann Fugger d. Ä.;1583;1633;katholisch;"Kaufleute, Gewerbetreibende, Dienstleister; Angehörige der Aristokratie";;;;;
Johann Ernst Fugger;1590;1639;katholisch;Hofleute, höfische Administration;;;;;
Markus Fugger;1564;1614;katholisch;"Kaufleute, Gewerbetreibende, Dienstleister; Hofleute, höfische Administration";Herzoglicher/Kurfürstlicher Rat (Bayern);Stammbücher Philipp Hainhofers;;;
Markus Philipp Fugger;1598;1620;katholisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Marquard Fugger;1595;1655;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Maximilian Fugger;1608;1669;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Maximilian Fugger;1587;1629;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Ottheinrich Fugger;1592;1644;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie; Angehörige des Militärs; Städtische Administration";"Herzoglicher/Kurfürstlicher Rat (Bayern); Orden vom Goldenen Vlies";Pass Philipp Hainhofers für seine Gesandtschaftsreise nach München 1636;;;
Philipp Fugger;1567;1601;katholisch;Angehörige der Aristokratie;;;;;
Fulgentian, literarische Gestalt;;;keine Angabe;Sonstige;Ritter der Spiegel der Tapferkeit, literarische Gestalten;;;;
Friedrich Fuss;;1618;keine Angabe;Künstler: Skulptur;;;;;zwischen 1596 und 1618
Wolfgang Gabelkover;1568;1634;protestantisch;Hofleute, höfische Administration;;Stammbücher Philipp Hainhofers;;;
Matthäus Gabler;1579;;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Gabriel Báthory, Fürst (Siebenbürgen);1589;1613;"katholisch; protestantisch";Angehörige der Aristokratie;;;;;
Christoph Gaertner;;;;"Künstler: Malerei; Künstler: Graphik; Künstler: Skulptur";;Stammbuch Philipps II. von Pommern-Stettin;;;
Friedrich von Gaisberg;;1631;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Otto Leonardt von Gaisberg;;1635;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Matthäus Gaisser;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;Christliche Danksagung eines andächtigen Herzen zu Christus;;;ca. 1. Viertel des 17. Jahrhundert
Galileo Galilei;1564;1642;katholisch;Gelehrte und Schriftsteller;;;;;
Philipps Galle;1537;1612;keine Angabe;Künstler: Graphik;;;;;
Michael Gaß;1575;1633;keine Angabe;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Anton Gasser;;1622;keine Angabe;"Künstler: Malerei; Künstler: Graphik";;Stammbuch Philipps II. von Pommern-Stettin;;;
Georg Ludwig von Gaudecker;;;protestantisch;Angehörige der Aristokratie;;;;;um 1616
Ferdinand Geizkofler;1592;1653;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Ludwig Geizkofler;1592;1665;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Zacharias Geizkofler;1560;1617;protestantisch;Hofleute, höfische Administration;;Stammbücher Philipp Hainhofers;;;
Bernhard von Gemmingen;1585;1651;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
Christoph von Gemmingen;1571;1616;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
Johann Konrad von Gemmingen;1593;1627;keine Angabe;Angehörige der Aristokratie;;;;;
Karl Dietrich von Gemmingen;1583;1629;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Reinhard von Gemmingen;1591;1638;keine Angabe;Angehörige der Aristokratie;;;;;
Gaspard de Genevois;1549;1619;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Genthios, König (Illyrer);;;andere;Angehörige der Aristokratie;;;;;reg. 180 bis 168 v. Chr.
Georg, Herzog (Braunschweig-Calenberg);1583;1641;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbuch Philipps II. von Pommern-Stettin;;;
Georg IV., Graf (Ortenburg);1573;1627;"protestantisch; katholisch";Angehörige der Aristokratie;Herzoglicher/Kurfürstlicher Rat (Bayern);Stammbücher Philipp Hainhofers;;;
Georg II. (III.), Herzog (Pommern);1582;1617;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);Stammbuch Philipps II. von Pommern-Stettin;;;
Georg Albrecht II., Markgraf (Brandenburg);1591;1615;protestantisch;Angehörige der Aristokratie;;;;;
Georg Brentel;1581;1634;protestantisch;"Künstler: Malerei; Künstler: Graphik; Gelehrte und Schriftsteller";;;;;
Georg Friedrich, Markgraf (Baden-Durlach);1573;1638;protestantisch;Angehörige der Aristokratie;"Orden der grünen Binde; Protestantische Union";"Durlach, Schloss Karlsburg; Durlach, Schloss Karlsburg, Lusthaus Georg Friedrichs von Baden-Durlach; Durlach, Schloss Karlsburg, Saal mit der Porträtgalerie des Hauses Baden; Durlach, Schloss Karlsburg, Saal mit der Porträtgalerie des Ordens der grünen Binde; Durlach, Schloss Karlsburg, Schlossgarten; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
"Georg Friedrich, Markgraf (Baden-Durlach), im Juni 1615/März 1616
               lebende Söhne";;;;;;;;;
"Georg Friedrich, Markgraf (Baden-Durlach), im Juni 1615 lebende
               Töchter";;;;;;;;;
Georg Friedrich I., Markgraf (Brandenburg-Ansbach);1539;1603;protestantisch;Angehörige der Aristokratie;;;;;
Georg Friedrich, Erzbischof und Kurfürst (Mainz);1573;1629;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Georg IV. Ludwig, Landgraf (Leuchtenberg);1567;1613;katholisch;"Angehörige der Aristokratie; Gelehrte und Schriftsteller";Orden vom Goldenen Vlies;;;;
Georg, Graf (Nassau-Dillenburg);1562;1623;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Georg Wilhelm, Kurfürst (Brandenburg);1595;1640;protestantisch;Angehörige der Aristokratie;;;;;
Georg Wilhelm, Pfalzgraf (Pfalz-Birkenfeld);1591;1669;protestantisch;Angehörige der Aristokratie;;;;;
Erasam von Gera;1588;1657;"protestantisch; katholisch";"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Graf Gerold;;;katholisch;Angehörige der Aristokratie;;;;;nachgewiesen zwischen 811 und 832
Johann Heinrich von Gertzen Sinzig;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;1597–1620 nachweisbar
Augsburger Gesandte beim Reichstag in Regensburg 1613;;;;;;;;;1613
Badische Gesandte in Neuburg 1614;;;;;;;;;
Pommersche Gesandte beim Reichstag in Regensburg 1613;;;;;;;;;1613
Ulmer Gesandte beim Reichstag in Regensburg 1613;;;;;;;;;
Venezianische Gesandte beim Reichstag in Regensburg 1613;;;;;;;;;
Margret Gessler;;;katholisch;Sonstige;;;;;
Geuder von Heroldsberg, Patrizierfamilie;;;;;;;;;1253 erstmalig urkundlich belegt, 1963 in Deutschland im Mannestamm erloschen
Jakob Geuder von Heroldsberg;1575;1616;protestantisch;Hofleute, höfische Administration;Geuder von Heroldsberg, Patrizierfamilie;;;;
Melchior Geuer;;1630;katholisch;Hofleute, höfische Administration;;;;;
Christoph Gewold;1556;1621;"protestantisch; katholisch";"Hofleute, höfische Administration; Gelehrte und Schriftsteller";;;Gewold, Christoph: Geschlechts-Register Der D. Hertzogen in Baÿren und etlicher eigentliche Bildtnus an jetzo in die Teutsche Sprach versetzt unnd von Wolfgang Kilian zu Augspurg in Kupfer gestochen, Augsburg 1623;;
Wolfhart Adam Geyer von Edelbach;;;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;Stammbücher Philipp Hainhofers;;;zwischen 1595 und 1622
Giambologna;1524;1608;katholisch;Künstler: Skulptur;;"Kabinettschrank mit der Reiterstatuette des Kaisers Augustus; Kleinbronzen; Kruzifix der Kreuzigungsgruppe; Pferd";;;
Clara Gienger;;;christlich allgemein;Sonstige;;;;;
Joachim Gieteler von Waldsee;1559;1631;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Elisabeth Gilling;;;christlich allgemein;Sonstige;;;;;
Thomas Gilling;;;keine Angabe;Sonstige;;;;;
? Gintersperg;;;keine Angabe;"Bedienstete; Hofleute, höfische Administration";;;;;um 1617
Johann Ludwig von Gleichen-Tonna;1565;1631;protestantisch;Angehörige der Aristokratie;;;;;
Philipp Ernst von Gleichen-Tonna;1561;1619;protestantisch;Angehörige der Aristokratie;;;;;
Volrad von Gleichen-Blankenhain;1556;1627;protestantisch;Angehörige der Aristokratie;;;;;
Georg Friedrich von Gleißenthal;1589;1650;protestantisch;Hofleute, höfische Administration;;;;;
Anna Maria Glitz;1582;1635;protestantisch;Sonstige;;;;;
Glorisplendor, literarische Gestalt;;;keine Angabe;Sonstige;Ritter der Spiegel der Tapferkeit, literarische Gestalten;;;;
Johann Gnan;;1633;keine Angabe;Gelehrte und Schriftsteller;;Stammbücher Philipp Hainhofers;;;
Gnibel;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1616
Johann Georg Göpfert;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1616
Paul Göttich;1586;1622;protestantisch;Künstler: Graphik;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Hans Götz (Arzt);;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1539–1564 nachgewiesen
Hans Götz;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1538 nachgewiesen
Stefan Götz;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1538 nachgewiesen
Wilhelm von Goldstein;1593;1632;protestantisch;Angehörige des Militärs;;;;;
Hendrick Goltzius;1558;;keine Angabe;"Künstler: Malerei; Künstler: Graphik";;;;;
Gonzaga, Eleonora, Kaiserin (HRR);1598;1655;katholisch;Angehörige der Aristokratie;;;;;
Emanuele Filiberto Goveano;;1637;keine Angabe;Hofleute, höfische Administration;;;;;
Jakob Grab;1583;1637;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Johann Ludwig zu Grafeneck;;;keine Angabe;Hofleute, höfische Administration;"Reichshofrat (Heiliges Römisches Reich); Schwäbisches Reichsgrafenkollegium";;;;zwischen 1595 und 1613
Andrew Gray;1574;1629;katholisch;Angehörige des Militärs;;;;;
Johann Philipp Greck von Kochendorf;1557;1620;protestantisch;Hofleute, höfische Administration;;;;;
Otilia Grecken;;;keine Angabe;Sonstige;;;;;
Gregor XV., Papst;1554;1623;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Greifen (Dynastie);;;;;;;;;
Christoph Greuter;1571;1633;katholisch;Künstler: Graphik;;Alte Geige der Wahrheit – Allegorie auf den gefährdeten Zustand der Welt;;;
Christoph Griebel zu Stockau;;1636;"protestantisch; katholisch";Hofleute, höfische Administration;Landstände des Herzogtums Pfalz-Neuburg;;;;
Grieninger Johann Joachim;;1619;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Daniel Grießbeck;1576;;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Agnes Grimm;1580;;protestantisch;Sonstige;;;;;
Anna Grimm;1578;1660;protestantisch;Sonstige;;;;;
Christoph Grimm;1546;1624;protestantisch;Hofleute, höfische Administration;;;;;
Wolf Philipp Groß von Trockau;;1617;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Joachim von Grüenthall;1576;1639;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;Stammbücher Philipp Hainhofers;;;
Johann Christoph von der Grün;1555;1622;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Pangraz von der Grün;;1640;protestantisch;Hofleute, höfische Administration;;;;;
Erasmus Grüninger;1566;1632;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Leonhard Grundherr von Altenthann und Weiherhaus;1563;1624;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Ulrich Grundherr;1570;1654;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Jan Gruter;1560;1627;protestantisch;Gelehrte und Schriftsteller;;;;;
Matthias von Güntersberg;1584;1650;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Günther XLII., Graf (Schwarzburg-Sondershausen);1570;1643;protestantisch;Angehörige der Aristokratie;;;;;
Jeremias Günther;;;katholisch;Künstler: Malerei;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Heinrich Günzburger;;;christlich allgemein;Sonstige;;;;;
Marx Günzer;1579;1628;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Markus Christoph Gugel;;1626;protestantisch;Gelehrte und Schriftsteller;;;;;
Alberto Nicolo Guidebon Cavalchino;;1684;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Gumppenberg (Familie);;;;;;;;;
Albrecht von Gumppenberg;1560;1601;katholisch;Angehörige der Aristokratie;Gumppenberg (Familie);;;;
Georg von Gumppenberg;;1620;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige des Militärs";"Gumppenberg (Familie); Herzoglicher/Kurfürstlicher Rat (Bayern)";;;;zwischen 1612 und 1620
Heinrich von Gumppenberg;;1626;katholisch;Angehörige der Aristokratie;Gumppenberg (Familie);;;;
Maria Felicitas von Gumppenberg;;;katholisch;Angehörige der Aristokratie;Gumppenberg (Familie);;;;zwischen 1595 und 1635
Stephan von Gumppenberg;;1604;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";"Gumppenberg (Familie); Herzoglicher/Kurfürstlicher Rat (Bayern)";;;;
Matthäus Gundelach;1566;1653;protestantisch;Künstler: Malerei;;;;;
Gustav II. Adolf, König (Schweden);1594;1632;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Johann Jakob Guth von Sulz;1543;1616;protestantisch;"Hofleute, höfische Administration; Sammler / Auftraggeber";;Guth’sche Kunstkammer;;;
Ludwig Guth von Sulz;1590;1653;protestantisch;Hofleute, höfische Administration;;;;;
Georg Haan;;1628;katholisch;Hofleute, höfische Administration;;;;;
Habsburger (Dynastie);;;;;;;;;um 1200 bis heute
Elias Hack;;;protestantisch;Hofleute, höfische Administration;;;;;1608–1620
Wilhelm Hackstein;;1623;katholisch;Städtische Administration;;;;;1579–1623 nachgewiesen
Johann Hadamar;;1615;keine Angabe;Städtische Administration;;;;;1601–1615 nachgewiesen
Hadrian I., Papst;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 772 und 795
Hans Ulrich Hämmerle;;;katholisch;Hofleute, höfische Administration;Reichshofrat (Heiliges Römisches Reich);;;;
Stephan Heinrich Haffner;;1628;protestantisch;Hofleute, höfische Administration;;;;;
Maria Hafner;;;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Joachim von Hagen;;;protestantisch;Angehörige der Aristokratie;;;;;um 1616
Ulrich Hagenohr;;;christlich allgemein;Hofleute, höfische Administration;;;;;um 1323
Augustin Haimbl;;1629;katholisch;Hofleute, höfische Administration;;;;;
Haimon, Herzog von Dordone;;;keine Angabe;Sonstige;;;;;
Haimon, Söhne (Haimonskinder);;;;;;;;;
Christoph Hainhofer;1565;1616;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Hieronymus Hainhofer;1579;1632;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Judith Hainhofer;1606;1634;protestantisch;Sonstige;Philipp Hainhofer, Kinder;;;;
Philipp Hainhofer d. J.;1612;1617;protestantisch;Sonstige;Philipp Hainhofer, Kinder;;;;
Philipp Hainhofer, Kinder;;;;;;;;;
Regina Hainhofer;1582;;protestantisch;Sonstige;;;;;
Wolf Melchior Hainhofer;1591;1617;protestantisch;"Angehörige der Aristokratie; Bedienstete";;;;;
Johann Peter Haintzel von Degerstein;1572;1608;protestantisch;"Gelehrte und Schriftsteller; Sammler / Auftraggeber";;;;;
Heinrich Haintzel;;;christlich allgemein;Sonstige;;;;;
Johann Heinrich Haintzel;1553;;protestantisch;Städtische Administration;;;;;
Johann Ludwig Haintzel;;;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;von 1575 bis 1584
Adam von Hallegg auf Ratzenegg;;1630;protestantisch;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;1596–1630 nachgewiesen
Dietrich Haller;;;keine Angabe;Sonstige;;;;;
Ernst Haller von Hallerstein;1551;1618;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Johann Albrecht Haller von Hallerstein;1569;1654;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Lazarus Haller von Hallerstein;1568;1633;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Martin Haller von Hallerstein;1551;1617;keine Angabe;"Städtische Administration; Gelehrte und Schriftsteller";Rat der Stadt Nürnberg;;;;
Sigmund Haller von Hallerstein;1575;1620;keine Angabe;Städtische Administration;;;;;
Ludwig von Hallweil;;1630;protestantisch;Angehörige der Aristokratie;;;;;
Albrecht von Hanau-Münzenberg;1579;1635;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Amalie Elisabeth von Hanau-Münzenberg;1602;1651;protestantisch;Angehörige der Aristokratie;;;;;
Friedrich Ludwig von Hanau-Münzenberg;1610;1628;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich Ludwig von Hanau-Münzenberg;1609;1632;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Wetterauisches Reichsgrafenkollegium;;;;
Philipp Wolfgang von Hanau-Lichtenberg;1595;1641;protestantisch;Angehörige der Aristokratie;;;;;
Wilhelm Reinhard von Hanau-Münzenberg;1607;1630;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Wolfgang Hannemann;;1607;katholisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Adam Hannewaldt;1567;1621;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann von Harling;;1647;protestantisch;Angehörige der Aristokratie;;;;;
David Harsdörfer;1584;1654;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Paul Harsdörfer;1574;1632;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Philipp Harsdörfer;1577;1631;protestantisch;Angehörige der Aristokratie;;;;;
Elisabeth IV. Hartmann;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1598 und 1625
Jos Hartmann;;;keine Angabe;Sonstige;;;;;
Alexander von Haßlang;1560;1620;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Johannes Hauber;1572;1620;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Christoph von Haugwitz;;1640;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;Stammbücher Philipp Hainhofers;;;1592–um 1640
Cornelius Jansen Hauser von Ach;;1611;keine Angabe;"Künstler: Malerei; Gelehrte und Schriftsteller";;Hochaltar;;;1589–1611 nachgewiesen
Martin Hausmann;;;protestantisch;Hofleute, höfische Administration;;;;;
Johann Heberer;1568;1628;protestantisch;"Städtische Administration; Gelehrte und Schriftsteller";;;;;
Adam Hebich;;1658;katholisch;Gelehrte und Schriftsteller;;;;;
Jonas Heckinger;1577;;keine Angabe;Künstler: Angewandte Kunst;;;;;1600–ca. 1615
Erich Hedemann;1567;1636;keine Angabe;Hofleute, höfische Administration;;;;;
Jakob Hefl;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1600 und 1614
Georg Heher;1567;1627;keine Angabe;"Städtische Administration; Hofleute, höfische Administration";;;;;
Daniel Heider;1572;1647;protestantisch;Städtische Administration;;;;;
Kaspar Heider;1554;1629;keine Angabe;Städtische Administration;;;;;
Jakob Heilbronner;1548;1618;protestantisch;"Hofleute, höfische Administration; Angehörige von Klerus und Ordensgemeinschaften";;;Heilbronner, Jakob: Zwo Christliche Leichpredigten Vber dem tödtlichen vnd seligen Ableiben Deß Durchleuchtigsten Hochgebornen Fürsten und Herrn/ Herrn Philipps Ludwigs Pfaltzgrauens bey Rhein, Lauingen 1614;;
Heinrich II., Herzog (Lothringen);1563;1624;katholisch;Angehörige der Aristokratie;;;;;
Heinrich II., Herr (Reuß-Burgk);1575;1636;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich II., Herr (Reuß-Gera);1572;1635;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Heinrich III., Herr (Reuß-Burgk);1578;1616;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich IV., König (Frankreich);1553;1610;"protestantisch; katholisch";Angehörige der Aristokratie;;;;;
Heinrich V. von Knöringen, Bischof (Augsburg);1570;1646;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;Stammbuch Philipps II. von Pommern-Stettin;;;
Heinrich V., Herr (Reuß-Untergreiz);1549;1604;protestantisch;Angehörige der Aristokratie;;;;;
"Heinrich V., Herr (Reuß-Untergreiz), im Jahr 1613 minderjährige
               Söhne";;;protestantisch;;;;;;
Heinrich VII., Graf (Ortenburg);1556;1603;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Heinrich VIII. von Ulm-Langenrain, Fürstabt (Kempten);1568;1616;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Heinrich XVIII., Herr (Reuß-Obergreiz);1563;1616;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich Friedrich, Fürst von Wales;1594;1612;protestantisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";;;;;
Heinrich Julius, Herzog (Braunschweig-Wolfenbüttel);1564;1613;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich von Ulm;;1617;keine Angabe;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Heinrich Wenzel, Herzog (Münsterberg);1592;1639;protestantisch;Angehörige der Aristokratie;;;;;
Joseph Heintz der Ältere;1564;1609;protestantisch;Künstler: Malerei;;"Neuburg an der Donau, Hofkirche Mariä Himmelfahrt; Neuburg an der Donau, Schloss Neuburg, Großer Saal; Stammbücher Philipp Hainhofers";;;
Froben Christoph von Helfenstein;1573;1622;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Schwäbisches Reichsgrafenkollegium;;;;
Rudolf von Helfenstein-Wiesensteig;1585;1627;katholisch;Angehörige der Aristokratie;Schwäbisches Reichsgrafenkollegium;;;;
Bernholf von Helmstatt;;;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;1607–1629
Georg Philipp von Helmstatt;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1612–1622
Johann Philipp von Helmstatt;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1601–1616
Johann Weiprecht von Helmstatt;;1617;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Philipp Christoph von Helmstatt;;;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;um 1616–1632
